UNQ_ID,AGE RANGE,GENDER,NCSS_B03A,NCSS_B03B,NCSS_B04,NCSS_B05,EVENT,PARTICIPATION,PART_ROLE,AFFILIATION,Process_E_LS,Process_E_EX,Process_E_CT,Pre_MR1,Post_MR1,X_MR1,Pre_MR2,Post_MR2,X_MR2,Pre_MR3,Post_MR3,X_MR3,Pre_MR4,Post_MR4,X_MR4,Pre_MR5,Post_MR5,X_MR5,Pre_AT_PT1,Pre_AT_PT2,Pre_AT_PT3,Pre_AT_WT5,Pre_AT_CT1,Pre_AT_CT2,Pre_AT_CT3,Pre_AT_CT4,Pre_AT_LA1,Pre_AT_LA2,Pre_AT_LA3,Pre_AT_SC6,Pre_ST_SD1,Pre_ST_SD2,Pre_ST_SD3,Pre_ST_SD4,Pre_NCSS_P2,Pre_AT_WT2,Pre_AT_WT3,Pre_AT_WT4,Pre_AT_LA4,Pre_AT_WT1,Pre_AT_CT5,Pre_AT_LA5,Pre_AT_SC2,Pre_ST_SD5,Pre_ST_SR2,Pre_ST_SR1,Pre_ST_SR3,Pre_ST_SR4,Pre_ST_SR5,Pre_NCSS_P1,Pre_NCSS_P3,Pre_NCSS_P4,Pre_NCSS_P5,Pre_AT_SC1,Pre_AT_SC3,Pre_AT_SC4,Pre_AT_SC5,Post_AT_PT1,Post_AT_PT2,Post_AT_PT3,Post_AT_WT5,Post_AT_CT1,Post_AT_CT2,Post_AT_CT3,Post_AT_CT4,Post_AT_LA1,Post_AT_LA2,Post_AT_LA3,Post_ST_SD1,Post_ST_SD2,Post_ST_SD3,Post_ST_SD4,Post_AT_SC6,Post_NCSS_P2,Post_AT_WT2,Post_AT_WT3,Post_AT_WT4,Post_AT_LA4,Post_AT_WT1,Post_AT_CT5,Post_AT_LA5,Post_AT_SC2,Post_ST_SD5,Post_ST_SR2,Post_ST_SR1,Post_ST_SR3,Post_ST_SR4,Post_ST_SR5,Post_NCSS_P1,Post_NCSS_P3,Post_NCSS_P4,Post_NCSS_P5,Post_AT_SC1,Post_AT_SC3,Post_AT_SC4,Post_AT_SC5
3027DF64,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,7,Social Media Personality,RP Student (PET),5,5,5,4.5625,3.6875,-0.875,2.8,2.8,0,4.4,4.5,0.1,4,4,0,4.5,4.75,0.25,4,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,1,2,4,3,4,4,5,5,5,1,5,5,5,5,4,5,2,4,5,5,5,5,3,4,4,4,3,4,3,5,4,4,2,2,4,4,4,3,5,3,2,3,4,2,5,4,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,4
0517723A,18-24 years old,Male,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,6,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.875,4.75,-0.125,4.2,2.4,-1.8,5,4.7,-0.3,5,3.75,-1.25,5,4.5,-0.5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,3,3,1,3,2,5,4,5,5,4,5,5,5,5,4,4,3,4,4,5,5,5,3
558755DA,18-24 years old,Female,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,4,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.25,4.4375,0.1875,3.4,3.2,-0.2,4.9,4.6,-0.3,5,4.5,-0.5,3.25,3.75,0.5,5,5,5,3,3,3,5,2,2,5,5,5,5,5,5,5,3,4,4,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,4,5,5,3,5,5,5,5,3,3,4,5,5,5,4,5,5,5,2,3,1,3,5,5,5,4,5,5,5,5,4,5,3,5,5,2,5,4,4
EFD47FEA,18-24 years old,Female,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,3,Social Media Personality,Non RP Staff Student or Alumnus,5,5,5,4.5625,4.3125,-0.25,3.8,3.6,-0.2,4.6,4.4,-0.2,5,4,-1,3.5,5,1.5,5,5,5,3,5,5,5,4,4,4,4,5,5,5,5,4,5,5,2,3,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,1,5,3,5,5,4,5,5,5,5,5,4,4,4,2,5,4,5,2,5,5,4,2,3,4,4,4,4,5,4,5,5,4,4,5,4,4,4,4,5,5,5,5
8D0B8BA4,18-24 years old,Female,Yes,Friend,No,7 Polytechnic,10. C2C Social Media Feature,9,Social Media Personality,RP Student (PET),5,5,5,4.875,4.4375,-0.4375,4.2,3.2,-1,5,4.6,-0.4,5,4.5,-0.5,5,3.75,-1.25,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,3,3,4,5,5,5,4,5,5,5,2,3,1,3,5,5,5,4,5,5,5,5,4,5,3,5,5,2,5,4,4
8151B1FD,18-24 years old,Female,Yes,Friend,No,8 University Degree,10. C2C Social Media Feature,10,Social Media Personality,RP Alumnus,5,5,5,4.875,4.4375,-0.4375,4.2,3.2,-1,5,4.6,-0.4,5,4.5,-0.5,5,3.75,-1.25,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,3,3,4,5,5,5,4,5,5,5,2,3,1,3,5,5,5,4,5,5,5,5,4,5,3,5,5,2,5,4,4
1299325A,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,7,Social Media Personality,RP Alumnus,5,5,5,4.375,4.5,0.125,2.8,3.8,1,4.7,4.4,-0.3,5,4,-1,2.5,5,2.5,5,5,5,1,3,5,5,1,5,5,5,5,5,5,5,5,3,2,3,1,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,1,1,3,5,5,5,5,4,3,5,5,4,5,4,3,5,5,5,4,5,5,3,3,3,5,5,4,5,5,1,5,5,5,5,4,3,4,4,5,5,5,5,5
43B4C164,18-24 years old,Female,No,Not Applicable,No,8 University Degree,10. C2C Social Media Feature,8,Social Media Personality,RP Alumnus,5,5,5,4.5625,4.1875,-0.375,3.8,3.2,-0.6,4.6,4.9,0.3,5,5,0,3.5,3.25,-0.25,5,5,5,3,5,5,5,4,4,4,4,5,5,5,5,4,5,5,2,3,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,1,5,3,5,5,5,5,3,5,3,5,2,3,3,3,5,5,5,5,5,4,3,3,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,2
585E234F,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,7,Social Media Personality,RP Alumnus,5,5,5,4.875,4.75,-0.125,4.2,2.4,-1.8,5,4.7,-0.3,5,3.75,-1.25,5,4.5,-0.5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,3,3,1,3,2,5,4,5,5,4,5,5,5,5,4,4,3,4,4,5,5,5,3
EFA91FCA,18-24 years old,Female,No,Not Applicable,No,7 Polytechnic,10. C2C Social Media Feature,8,Social Media Personality,RP Alumnus,4,4,3,3.4375,3.875,0.4375,2.2,2.6,0.4,3.9,4.5,0.6,4.5,4.25,-0.25,2.25,4.25,2,5,3,4,3,2,2,5,2,3,3,3,5,4,4,4,3,1,2,3,2,3,4,4,3,4,4,4,5,4,4,3,5,4,4,5,1,3,2,3,5,5,5,1,5,5,2,2,4,1,2,5,5,5,5,5,1,1,5,3,3,5,4,4,5,5,5,5,4,4,4,4,4,4,5,3,5,5,4
