ID,Start time,"Completion
time",Age range,"Gender 
","I find the information in the video useful on keeping fit and healthy as a senior
","I find the duration of the video sufficient
","After watching the video, I know some exercises to improve my mobility and overall strength 
","I understand the importance of doing mobility and strength training exercises

","After watching the video, I know how to do the basic mobility and strength training exercises on my own

","I will be recommending this video to other family members and friends

","How useful were the videos by the health experts? 
","Any videos that you would like to see more of? (You can choose multiple answers)


","Any other comments

"
1,8/27/22 11:59:01,8/27/22 12:00:38,50 - 59,Male ,5,4,4,4,4,4,4,1,
2,8/29/22 8:03:41,8/29/22 8:04:32,Below 50,Male ,5,4,5,4,5,4,4,3,
3,8/29/22 9:52:12,8/29/22 11:38:06,Below 50,Female ,5,2,5,5,5,5,5,1,"Well done, the segments are concise and to the point. Variety of presenters and topics means it doesn’t get too boring. 
"
4,8/29/22 13:02:08,8/29/22 13:02:56,Below 50,Female ,5,5,5,5,5,5,5,1,
5,8/29/22 13:16:15,8/29/22 13:17:12,Below 50,Male ,5,4,5,5,5,5,4,1,
6,8/29/22 17:30:10,8/29/22 17:31:35,Below 50,Female ,5,3,4,5,5,5,4,2,
7,8/31/22 20:08:24,8/31/22 20:11:01,50 - 59,Female ,5,5,5,5,5,5,5,1,"Our coach Mei En recommended us to keep fit, very very good!"
8,8/31/22 20:08:26,8/31/22 20:19:47,50 - 59,Female ,5,5,5,5,5,5,5,1,Our coach Mei en encouraged me to stay active 
9,8/31/22 21:43:57,8/31/22 21:48:54,50 - 59,Male ,3,3,4,5,4,4,4,1,
10,8/31/22 21:42:12,8/31/22 21:49:36,50 - 59,Female ,4,4,4,4,4,3,4,2,
11,8/31/22 22:47:27,8/31/22 22:47:40,50 - 59,Female ,5,5,5,5,5,5,5,3,Good public service video to create awareness
12,9/1/22 7:30:02,9/1/22 7:30:57,60 - 69,Female ,5,5,5,5,5,5,5,3,
13,9/1/22 8:19:41,9/1/22 8:34:44,50 - 59,Male ,5,4,4,5,4,5,4,3,Could include diet to compliment exercising.
14,9/1/22 8:45:27,9/1/22 8:46:01,60 - 69,Female ,5,4,5,5,5,5,5,1,
15,9/1/22 8:49:45,9/1/22 8:51:59,Below 50,Male ,4,4,4,4,4,4,4,2,
16,9/1/22 8:52:16,9/1/22 8:56:42,60 - 69,Male ,5,5,5,5,5,5,5,1,Good to remind participants to understand their own health condition b4 embarking on an exercise regiment especially those who hv not been doing exercises for long. 
17,9/1/22 9:01:21,9/1/22 9:02:13,50 - 59,Female ,4,3,4,4,4,3,3,3,
18,9/1/22 9:15:00,9/1/22 9:16:34,Below 50,Male ,4,3,5,5,5,4,5,1,video can have multiple languages and maybe a standalone exercise clip so seniors can quickly find it to do the exercises
19,9/1/22 9:23:53,9/1/22 9:29:20,50 - 59,Male ,4,3,4,4,4,3,3,1,"Provide subtitle on screen
"
20,9/1/22 9:58:12,9/1/22 10:00:07,50 - 59,Female ,5,5,5,4,4,5,4,1,
21,9/1/22 11:00:04,9/1/22 11:02:38,50 - 59,Male ,5,4,5,5,5,4,5,3,Would be good to include music in some parts of the video.
22,9/1/22 11:51:52,9/1/22 11:53:14,Below 50,Female ,4,2,4,5,4,4,3,2,Shorten the video to 5 mins. No need expert advice 
23,9/1/22 12:06:30,9/1/22 12:07:15,Below 50,Female ,5,5,5,5,5,5,5,2,
24,9/1/22 12:50:40,9/1/22 12:52:30,50 - 59,Male ,4,4,5,5,4,5,5,2,Have more videos with shorter duration. 
25,9/1/22 13:02:52,9/1/22 13:03:50,50 - 59,Male ,4,3,4,4,4,4,4,3,
26,9/1/22 13:28:31,9/1/22 13:30:58,50 - 59,Female ,4,3,5,5,5,4,4,1,
27,9/1/22 13:53:53,9/1/22 13:54:49,Below 50,Male ,4,3,4,5,4,3,4,1,
28,9/1/22 15:15:29,9/1/22 15:16:25,50 - 59,Female ,5,4,4,4,4,4,5,1,
29,9/1/22 15:41:22,9/1/22 15:42:18,60 - 69,Female ,4,4,4,4,4,4,4,1,
30,9/1/22 18:12:08,9/1/22 18:13:30,50 - 59,Female ,5,5,5,5,5,5,5,1,Well documented 
31,9/1/22 19:12:17,9/1/22 19:13:00,50 - 59,Female ,4,3,4,4,4,4,4,1,
32,9/1/22 19:15:17,9/1/22 19:17:46,50 - 59,Female ,5,4,4,5,5,4,4,2,
33,9/1/22 19:19:28,9/1/22 19:20:57,60 - 69,Female ,5,3,4,4,4,4,4,3,
34,9/1/22 19:23:07,9/1/22 19:25:22,60 - 69,Female ,4,4,4,4,4,4,4,1,No
35,9/1/22 20:40:31,9/1/22 20:43:43,50 - 59,Female ,4,4,5,5,4,4,4,1,
36,9/2/22 2:01:07,9/2/22 2:03:25,60 - 69,Male ,4,4,4,4,4,3,4,1,
37,9/2/22 9:54:36,9/2/22 9:56:07,70 - 79,Female ,5,5,5,5,5,5,5,1,
38,9/2/22 10:14:15,9/2/22 10:17:28,60 - 69,Female ,4,4,4,4,4,4,4,1,Helps for instructors repeat when to breath in and breath out.
39,9/2/22 11:23:41,9/2/22 11:26:31,50 - 59,Female ,5,4,4,4,5,4,5,2,The video was well plan and informative  Thks. 
40,9/3/22 19:37:42,9/3/22 19:38:43,60 - 69,Female ,5,5,5,5,5,5,5,1,Keep up the good work!
